mlg,cluster,color,type,source,hybrid,A,B,C,D,daysDiseased,daysLesion,propDiseased,propHealthy
92,3,#d9f0d3,SR,H,Y,0.057044609,0.010083272,0.156799164,0.776072956,0.09090909,0.36363636,1,0
93,5,#1b7837,unk,unk,unk,0.078215819,0.013838861,0.106128534,0.801816787,0.74074074,0.72222222,0.33333333,0.66666667
94,3,#d9f0d3,SR,H,N,0.094473692,0.01275684,0.11326839,0.779501078,0.18181818,0.54545455,1,0
95,5,#1b7837,SR,H,N,0.07942582,0.01733319,0.20775035,0.69549064,0.09090909,0.54545455,1,0
96,5,#1b7837,SR,H,N,0.117935654,0.032453978,0.093468038,0.756142331,0.14285714,0.21428571,1,0
97,5,#1b7837,SR,H,N,0.081343917,0.011301938,0.123063464,0.784290681,0.14285714,0.21428571,1,0
98,5,#1b7837,SR,H,N,0.098776154,0.015757267,0.105798794,0.779667785,0.14285714,0.21428571,1,0
99,4,#7fbf7b,SR,H,N,0.19787519,0.032270443,0.247476348,0.522378019,0.14285714,0.21428571,1,0
100,3,#d9f0d3,SR,H,N,0.060086443,0.009990292,0.06544836,0.864474904,0.10524892,0.21834416,1,0
101,3,#d9f0d3,SR,H,N,0.068425846,0.017315435,0.079638063,0.834620656,0.08116883,0.40584416,1,0
102,1,#762a83,SR,H,Y,0.035367318,0.005706164,0.035180668,0.92374585,0.07142857,0.35714286,1,0
103,5,#1b7837,SR,H,Y,0.045782882,0.007046622,0.041924609,0.905245887,0.21428571,0.21428571,1,0
104,3,#d9f0d3,SR,H,N,0.066995917,0.011036481,0.08935862,0.832608982,0.07142857,0.21428571,1,0
105,5,#1b7837,unk,unk,unk,0.173647278,0.023015986,0.165415283,0.637921454,0.18181818,0.09090909,1,0
106,3,#d9f0d3,unk,unk,unk,0.003467499,0.001148047,0.003324163,0.992060291,0.1043771,0.2020202,1,0
107,2,#af8dc3,unk,unk,unk,0.004237414,0.001219287,0.003717416,0.990825882,0.28977273,0.12215909,1,0
108,4,#7fbf7b,unk,unk,unk,0.034726205,0.004581245,0.026859566,0.933832984,0.09995791,0.35942761,1,0
