mlg,type,source,hybrid,A,B,C,D,domSym,K,daysDiseased,daysLesion,propDiseased,propHealthy,Rgroup,Rgroup2reps,Rgroup3reps,Rgroup5clusters,color,color2
24,SR,H,N,0.061268651,0.010072908,0.06366151,0.864996932,Durusdinium,4,0.21753247,0.49350649,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
25,SR,H,Y,0.12054271,0.069656287,0.224270648,0.585530356,Durusdinium,1,0.07142857,0.5,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
26,SR,H,Y,0.16059293,0.067186719,0.348991067,0.423229284,Durusdinium,4,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
27,COO,KWN,N,0.016169976,0.002562259,0.01236356,0.968904205,Durusdinium,2,0.3844697,0.66287879,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
28,unk,unk,unk,0.12450524,0.026583745,0.167475031,0.681435984,Durusdinium,2,0.14285714,0.57142857,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
29,SR,H,N,0.196378223,0.048482596,0.224137489,0.531001692,Durusdinium,1,0.07494589,0.38906926,1,0,Susceptible,Susceptible,Highly Susceptible,Susceptible,#fff2cc,#fff2cc
30,SR,H,N,0.091203995,0.024503021,0.155953266,0.728339718,Durusdinium,2,0.63636364,0.72727273,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
31,SR,H,N,0.118484624,0.037697386,0.172876834,0.670941157,Durusdinium,4,0.16257816,0.31962482,1,0,Highly Susceptible,Susceptible,Highly Susceptible,Highly Susceptible,#f9cb9c,#f9cb9c
32,SR,H,N,0.10894416,0.021354911,0.143391747,0.726309182,Durusdinium,1,0.54545455,0.81818182,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
33,SR,H,N,0.101461521,0.022197706,0.123980238,0.752360536,Durusdinium,1,1,1,0,1,Resistant,NA,NA,1/1 Resistant,#b7e1cd,#b7e1cd
34,COO,KWN,N,0.061787856,0.009034183,0.109740667,0.819437294,Durusdinium,5,0.1525974,0.25324675,1,0,Highly Susceptible,Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
35,SR,unk,N,0.08927161,0.016578909,0.123434986,0.770714495,Durusdinium,1,0.09090909,0.36363636,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
36,unk,unk,unk,0.061604725,0.009149487,0.067631497,0.861614291,Durusdinium,1,0.09090909,0.36363636,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
37,SR,H,Y,0.066793746,0.009115556,0.056834574,0.867256124,Durusdinium,1,0.28625541,0.38365801,1,0,Susceptible,Susceptible,Susceptible,Susceptible,#fff2cc,#fff2cc
38,SR,H,Y,0.090178122,0.015045319,0.119275403,0.775501155,Durusdinium,1,0.09090909,0.27272727,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
39,unk,unk,unk,0.060215701,0.011062334,0.054170453,0.874551513,Durusdinium,3,0.78125,0.53125,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
130,unk,unk,unk,0.053808809,0.008051243,0.056326285,0.881813664,Durusdinium,3,0.33667027,0.40512266,0.85714286,0.14285714,Susceptible,Susceptible,Susceptible,Susceptible,#fff2cc,#fff2cc
42,unk,unk,unk,0.115544468,0.014471293,0.100355382,0.769628856,Durusdinium,2,0.6875,0.8125,0.33333333,0.66666667,Intermediate,Resistant,Resistant,Resistant,#c9daf8,#b7e1cd
43,unk,unk,unk,0.090373856,0.011688424,0.048862601,0.849075118,Durusdinium,3,0.4375,0.39583333,0.66666667,0.33333333,Intermediate,Intermediate,Intermediate,Intermediate,#c9daf8,#c9daf8
45,SR,H,N,0.104575114,0.015595939,0.318321798,0.56150715,Durusdinium,,0.18181818,0.18181818,1,0,Highly Susceptible,NA,NA,Highly Susceptible,#f9cb9c,#f9cb9c
46,SR,H,Y,0.08234219,0.012897483,0.088033371,0.816726956,Durusdinium,4,0.17207792,0.29545455,1,0,Highly Susceptible,Susceptible,NA,Highly Susceptible,#f9cb9c,#f9cb9c
47,unk,unk,unk,0.146850691,0.577795152,0.198824558,0.076529598,Breviolum,2,0.1010101,0.37878788,1,0,Susceptible,Susceptible,NA,Susceptible,#fff2cc,#fff2cc
48,SR,H,N,0.055882938,0.009541885,0.06010745,0.874467727,Durusdinium,1,0.14285714,0.64285714,1,0,Susceptible,NA,NA,Susceptible,#fff2cc,#fff2cc
49,SR,H,N,0.111532899,0.026838501,0.158994726,0.702633874,Durusdinium,1,0.59090909,0.77272727,0.5,0.5,Intermediate,Resistant,NA,Resistant,#c9daf8,#b7e1cd
